source,sha256original,benign,sha256,family,malware,qtdvendor,apidetected,paramdetected,tracedetected,identical,similar,new,deleted,similarity
repack,3FA37D07A9A560ABBF1D1BEF7C23FC9CDDB5E26C981C6718B2BEFC5990E93891,True,456F88400B0D3F6E41D40E039A5A634AB40A76284BB9EBABA436D5EA1542F99A,None,False,0,False,False,False,1186,19,17,13,0.9737274220032841
repack,3FD3C441B980F80DD5BABBCA5B653AC837C50653F957F2069209ADAA6E62E1FA,True,A47220681F5726285654D1158CE303B0DCD5137C91FF5809476F1230EE8E0649,None,False,0,False,False,False,719,20,55,25,0.9410994764397905
repack,C5616B147FC273EAF29B407704C5D9475CB507015B06FD9CCB2120049FDBB567,True,4A8B340685492B0297474ED4ECF562E1A29BFC1B10C1A163B57292BE3360460F,gappusin,True,19,False,False,False,2908,1,1,6,0.9993127147766323
repack,C8FBBEF5C76D6A78453F3B7AA9D871DBB8DC7DD12D8E37CFC1C1F74555C8036E,True,4B22DC002B20D886C68CD8FD639969E15D9C101CBA8445B1DFD60DD03BB11950,None,False,0,False,False,False,4374,10,13,13,0.9947691607914487
repack,404BF1173C84EF2915F6F09094062CCDDCD230B4D699670E319B5A5C1FAD1637,True,7161AC65DC2A5C7914688D702F2C175E5A9ED4132E2ED4BB59AA263FD0339DE6,dnotua,True,19,False,False,False,74,9,13,10,0.7956989247311828
repack,4051ECCE2890EC86BEED4DA119688227A9EEE198CEAD99F6C279BB49B6F7BA2F,True,3D1EB0D568290B21027A5DBCFA5E2618AC94475C99E50FCF1FD1AEC185BB1B47,None,False,0,False,True,False,380,0,12,12,0.9693877551020408
repack,4062EC2F92A45DE2E78555F5BE817EB6222861D027A289D63E2082476A0C7D94,True,FE149BB7C8C6EF71D2C5F40F8D17C3B04FEE84CB93BE06F80E68ECB3777250E7,None,False,0,False,False,False,453,3,0,2,0.993421052631579
repack,D0DC78969AA1AFF93EC091D8BCEF140039D1BD6507CCFD8B9724BF6EC69A0622,True,2730D5AB90D295D892F33D4E30499F6A5E2A2CD36723169B4C75FA5D27747E13,None,False,0,False,False,False,7903,73,140,78,0.9812515520238391
repack,40ABC88F19124F70E7E108534F0B08A2C14A63F36647C866B3EB5C00BAD37D9C,True,F1831FAEC1E1B4D89D1CEC3BBF26EDE0480AF811005BB333D09C6DCAE00819AE,None,True,2,False,False,False,590,5,10,1,0.9899328859060402
repack,43591786CED8C78AE13CF00C5A4BC8B54A0AA94EA995E1AACF6A280F9955BA0F,True,40E5897248F38AE22529B61E216C503BFC12D546DEFA2318C98293DD67C9595E,None,False,0,True,False,False,2130,208,421,280,0.813598166539343
repack,41459046CA15EFDF7DA7A1CDE37FE9914B63507AFAEFF0C9412A790840A3D534,True,BDAD969123E42AACAB05A59EB1FE436C9787879C82054BC8FC45BDCEE7921B7D,revmob,True,11,True,False,False,1926,0,799,17,0.9912506433350489
repack,4154F44D0008E87E596B6FEEF3417E9BFDF3BE4D3EFABB87CEEFDEBDBCD90A00,True,A00995A7F6FA3FE9000E7716536C0B937E71C26F99F4CCD1AC9F18E92DAF6B6A,None,True,20,False,False,False,723,1,7,7,0.9890560875512996
